smiles,charge_diff,tpsa,rotatable_bonds,num_rings
C=C1COC2CNC2C1,0.4936333133086973,21.259999999999998,0.0,2.0
CC1CNCCC1,0.43866852840262494,12.03,1.0,1.0
CCC(=N)C1=CO1.O=CCCCN,0.5178954527593068,79.47,7.0,1.0
O=C1CNC(=O)C1,0.5760123885572748,46.17,0.0,1.0
C=1C(=CON=1)COC=O,0.7557568047027278,52.330000000000005,2.0,1.0
CCCOC(=O)OC=O,0.9494151153878543,52.6,3.0,0.0
O=COCC.CC=O,0.5962806898074178,43.370000000000005,3.0,0.0
CC(O)C(C)=NC=C,0.5984484584577221,32.59,5.0,0.0
N1=CCN2C3=NCC3NN1C2.OC4NOCCC4=C,0.5227440382837241,84.72,1.0,4.0
CCC1NN(CN1)OC.CCC2C=COC(=O)N2C=O,0.5638234995370963,83.14,6.0,2.0
CCCCCC(=N)C,0.49683808566265336,23.85,6.0,0.0
O=C=NCCOCC=N.C,0.3120806113067046,62.51,5.0,0.0
C=C(CN)CC=O,0.45034849606806704,43.09,4.0,0.0
CCC(O)C(C1)CC1O.CNC(C)NCOC,0.5799532422291162,73.75,12.0,1.0
C1NCC=CC1=N.CC2.C2.C(=O)C#CC,,,,
N1=C(C2)N2.O=CCC(=O)NO1,,,,
O=CCCCNC,0.44160517551099265,29.1,5.0,0.0
C12C(CO1)CNC3CN3.O=C(O)CCC2=N,,,,
C1=C2[NH1]C=C1C2=O,0.5679750045026857,32.86,0.0,3.0
CC1C[C-1](N)C1NC=O,0.683147263915231,55.12,3.0,1.0
CC(=O)C1=NOC1NC,0.5967092516896028,50.69,4.0,1.0
C=C(CN)C[NH1]O,0.5642687407226104,58.28,5.0,0.0
C1=O.CCC=C=[NH1+1]1,,,,
N=COC=NNCC,0.6330816271844077,57.47,3.0,0.0
C1CC1COC=O.CC2C34CC3=C24,0.35010814233867155,26.3,3.0,4.0
N1=COCCC2N1OC2.CC=C3OCCC3=O,0.6843820711198622,60.36,1.0,3.0
CC(C=O)CCOC,0.5070450037370684,26.3,6.0,0.0
CCC1OC(=N)N1.O=COCCOC2CC2,0.7514715656721055,80.64,6.0,2.0
CCOC(C)=O,0.7682846677014075,26.3,3.0,0.0
N=CC1CCCCC1=O.C=C(O2)OC2CN,0.6103483538575577,85.4,3.0,2.0
OCCC1CC(=O)N1,0.61808854270492,49.33,3.0,1.0
C=CNOON1CN1C=O.C2C3=CCC2(O)OC3=O,0.6560872135795115,100.11,5.0,3.0
CCN(O)CCO,0.6327706285758706,43.7,6.0,0.0
CC(C=NC#N)C=O.O=CCOC=NC(C1)C1,0.6808727658075311,91.88,6.0,1.0
O=C1CCC=COC1=N.CC2CCC(=O)C2N=N,0.5520810039546822,103.43,2.0,2.0
CC1OC(CC1)C2CO2,0.4795273903864177,21.759999999999998,2.0,2.0
O=C1C2NCCCOC12,0.5512710665822671,38.33,0.0,2.0
CCCCN(NCC)O.CCCC1COC(=O)C1,0.7049548158017364,61.8,11.0,1.0
CCCCC(C=O)=O.COO,0.4467880731392967,63.6,7.0,0.0
CCC1=NOCNCO1.CCCC(=O)CC=O,0.5291178548397802,76.99,7.0,1.0
O=C1N2CCCC21CO,0.6447849098907289,40.31,2.0,2.0
O=CNCCC1=C=C1.CC=O,0.5103490885611353,46.17,4.0,1.0
O=CCN=CC(CC)O.C=O,0.5180828742135788,66.72999999999999,6.0,0.0
CNC=CC=O.CC1C=CCC1C2C=C2,0.2470428269426781,29.1,5.0,2.0
CC=CC(CN)NO,0.5660697886314784,58.28,6.0,0.0
